,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project - Enter Project Name and CSI Division Number,,CLIN 0001 - Renovate Lab and Office Space in Building 508,, CLIN 0002- Install Power to Outside Cooler,,CLIN 0003 - Install Autoclave in building 503 and remove existing autoclave from that location,,0003 -- Architectural Finishes,,0004 -- Repairs To Overhead Crane,,0005 -- Mechanical,,0006 -- Plumbing,,0007 -- Electrical,,0008 -- Communications,,0009 -- Roofing Repairs,,0010 -- Design,,New CLIN - Hide if Not Used,,CLIN 0004 - Install overhead power in Room 120,,CLIN 0004 - To Remove the existing Cooler/Freezer,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$185,524.93", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summary,,,
"Bid Submitted - January 27, 2015", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL, ,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,(Lump Sum),,,,,
Category,RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,$/Hour,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,Hours,$,,Bid Notes
Project Manager ,$39.00 ,360,"$14,040.00 ",2,$78.00 ,2,$78.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,2,$78.00 ,366,"$14,274.00",,The PM cost is based on 45 days X 8 hours a day this is for 1/2 the duration of the project.
Engineering Tech I ,$26.92 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00,,
Administrative Assistant ,$20.46 ,160,"$3,273.60 ",2,$40.92 ,2,$40.92 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,2,$40.92 ,166,"$3,396.36",,"The Administrative Assistant will coordinate sub contracts, insurances, day to day requirements of creating the necessary files for the project as well as administrating monthly payrolls."
Project Controls/CADD/Submittals,$27.50 ,80,"$2,200.00 ",2,$55.00 ,2,$55.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,2,$55.00 ,86,"$2,365.00",,The Project Controls are based on adminstating the submittal registry for the project this is 10.75 a day  out of the 88 construction time.
Safety Manager ,$35.88 ,40,"$1,435.20 ",4,$143.52 ,4,$143.52 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,4,$143.52 ,52,"$1,865.76",,"The Safety Manager will write the Safety plan for the project and be involved in all pre-construction plans required, this is based off of 6.5 days with the duration of the project being 88 days."
Certified Payroll Administrator ,$16.00 ,88,"$1,408.00 ",8,$128.00 ,8,$128.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,8,$128.00 ,112,"$1,792.00",,The Certified Payroll Administrator cost is based on 8 hrs a week for 12 weeks of construction time and 2 weeks of close out. as required.
Site Superintendant/Site Safety Officer  ,$30.00 ,720,"$21,600.00 ",16,$480.00 ,40,"$1,200.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,15,$450.00 ,791,"$23,730.00",,The Superintendant cost is based on 8 hours a day for 90 working days + 71 hours to close project out.
Site Superintendant/Site Safety Officer  Overtime Shift,$45.00 ,168,"$7,560.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,168,"$7,560.00",,The Superintendent cost is based on 21 days X 8 hours of OT per day this is for the duration of the project being 21  days.
Site QC Person,$30.00 ,720,"$21,600.00 ",16,$480.00 ,40,"$1,200.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,15,$450.00 ,791,"$23,730.00",,The QC cost is based on 8 hours a day for 90 working days + 71 hours to close project out.
Site QC Person Overtime Shift,$45.00 ,168,"$7,560.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,168,"$7,560.00",,The QC cost is based on 21 days X 8 hours of OT per day this is for the duration of the project being 21  days.
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,
Installation Crew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,
Laborer,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,$0.00,,
Operator ,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,$0.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,
"TOTAL DIRECT ""L"" LABOR",,2504,"$80,676.80",50,"$1,405.44",98,"$2,845.44",0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,,$0.00,48,"$1,345.44","2,700","$86,273.12",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,$0.00,,
HOME OFFICE (L) LABOR OVERHEAD,0.67%, ,$540.53 , ,$9.42 , ,$19.06 , ,$0.00 , ,$0.00 , ,$0.00 , ,$0.00 , ,$0.00 , ,$0.00 , ,$0.00 , ,$0.00 , ,$0.00 , ,$0.00 , ,$9.01 ,,$578.03,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,$0.00,,
Total Labor Costs,,"2,504","$81,217.33 ",50,"$1,414.86 ",98,"$2,864.50 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,48,"$1,354.45 ","2,700","$86,851.15",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,
Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,$0.00,,
Company Truck for Superintendant and QC Person,$75.00,90,"$6,750.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,90,"$6,750.00",,This cost is based on $75 a day for 90 working days for a truck for company use. 
Company Truck for PM,$75.00,90,"$6,750.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,90,"$6,750.00",,This cost is based on $75 a day for 45 working days for a truck for company use. 
,,,,,,,,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,,,,0,$0.00,,
Travel & Per Diem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,,
Per Diem -- Room,"  3,500.00 ",3,"$10,500.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,3,"$10,500.00",,"This cost is for logging for the 3 months in the field, ASL has looked for a place for Superintendant and QC Manager to stay in this avarages out ot be 400 per week per person in leiu of the standard per diem rate of combined rate of $186 per night."
Per Diem -- Room,  175.00 ,45,"$7,875.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,45,"$7,875.00",,"This cost is for logging for the 3 months in the field, ASL has looked for a place for Superintendant and QC Manager to stay in this avarages out ot be 400 per week per person in leiu of the standard per diem rate of combined rate of $186 per night."
Per Diem - Meals - for Superintendent and QC Person,  56.00 ,180,"$10,080.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,180,"$10,080.00",,This is the Perdiem rate of $56.00 for 180 days
Per Diem - Meals - for PM,  56.00 ,45,"$2,520.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,45,"$2,520.00",,This is the Perdiem rate of $56.00 for 45 days
Car Rental/day,  100.00 ,45,"$4,500.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,45,"$4,500.00",,
"Airfare from Knoxville, TN to Silver Springs Maryland - Based on Delta 2 wk ahead fare (Project Manager)",  550.00 ,4,"$2,200.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,4,"$2,200.00",,This cost is for PM to fly home every other week 4 trips
"Airfare from Knoxville, TN to Silver Springs Maryland - Based on Delta 2 wk ahead fare (Site Super)",  550.00 ,4,"$2,200.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,4,"$2,200.00",,This cost is for Super to fly home every other week 4 trips
"Airfare from Knoxville, TN to Silver Springs Maryland - Based on Delta 2 wk ahead fare (QC Manager)",  550.00 ,4,"$2,200.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,4,"$2,200.00",,This cost is for QC to fly home every other week 4 trips
Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,$0.00,,
Office Trailer for Job Site ,$0.00 ,,$0.00 ,,$0.00 ,,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,,$0.00 ,,$0.00 ,0,$0.00,,
Misc Expendable Field Supplies & Tools/ Trailer/ Photographs/ Mobile Phone & Data/Cleaning Supplies/Ice/Dumpsters/Etc - per field day,$39.00 ,132,"$5,148.00 ",0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,0,$0.00 ,132,"$5,148.00",,Misc Expendable Field Supplies & Tools/ Trailer/ Photographs/ Mobile Phone & Data/Cleaning Supplies/Ice/Dumpsters/Etc - per field day
Overnight Shipping,$19.84 ,56,"$1,111.04 ",0,$0.00 ,0,$0.00 ,,,,,,,,,,,,,,,,,,,0,$0.00 ,,$0.00 ,56,"$1,111.04",,This cost is for Standard shipping as required for deliverables per the contract.
Project Safety Board,"$1,500.00 ",1,"$1,500.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"$1,500.00",,
Independent Surveyor,$0.00 ,1,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,$0.00,,
